Idx,Ratio,Train,Val,Stuff,Name,Label
1,0.1576,11664,1172,1,wall,1
2,0.1072,6046,612,1,building;edifice,1
3,0.0878,8265,796,1,sky,0
4,0.0621,9336,917,1,floor;flooring,1
5,0.0480,6678,641,0,tree,3
6,0.0450,6604,643,1,ceiling,1
7,0.0398,4023,408,1,road;route,1
8,0.0231,1906,199,0,bed,1
9,0.0198,4688,460,0,windowpane;window,1
10,0.0183,2423,225,1,grass,3
11,0.0181,2874,294,0,cabinet,1
12,0.0166,3068,310,1,sidewalk;pavement,1
13,0.0160,5075,526,0,person;individual;someone;somebody;mortal;soul,2
14,0.0151,1804,190,1,earth;ground,1
15,0.0118,6666,796,0,door;double;door,1
16,0.0110,4269,411,0,table,1
17,0.0109,1691,160,1,mountain;mount,0
18,0.0104,3999,441,0,plant;flora;plant;life,3
19,0.0104,2149,217,0,curtain;drape;drapery;mantle;pall,0
20,0.0103,3261,318,0,chair,1
21,0.0098,3164,306,0,car;auto;automobile;machine;motorcar,2
22,0.0074,709,75,1,water,0
23,0.0067,3296,315,0,painting;picture,1
24,0.0065,1191,106,0,sofa;couch;lounge,1
25,0.0061,1516,162,0,shelf,1
26,0.0060,667,69,1,house,1
27,0.0053,651,57,1,sea,0
28,0.0052,1847,224,0,mirror,0
29,0.0046,1158,128,1,rug;carpet;carpeting,0
30,0.0044,480,44,1,field,0
31,0.0044,1172,98,0,armchair,1
32,0.0044,1292,184,0,seat,1
33,0.0033,1386,138,0,fence;fencing,1
34,0.0031,698,61,0,desk,1
35,0.0030,781,73,0,rock;stone,1
36,0.0027,380,43,0,wardrobe;closet;press,1
37,0.0026,3089,302,0,lamp,1
38,0.0024,404,37,0,bathtub;bathing;tub;bath;tub,0
39,0.0024,804,99,0,railing;rail,1
40,0.0023,1453,153,0,cushion,1
41,0.0023,411,37,0,base;pedestal;stand,1
42,0.0022,1440,162,0,box,1
43,0.0022,800,77,0,column;pillar,1
44,0.0020,2650,298,0,signboard;sign,1
45,0.0019,549,46,0,chest;of;drawers;chest;bureau;dresser,1
46,0.0019,367,36,0,counter,1
47,0.0018,311,30,1,sand,0
48,0.0018,1181,122,0,sink,0
49,0.0018,287,23,1,skyscraper,1
50,0.0018,468,38,0,fireplace;hearth;open;fireplace,1
51,0.0018,402,43,0,refrigerator;icebox,1
52,0.0018,130,12,1,grandstand;covered;stand,1
53,0.0018,561,64,1,path,1
54,0.0017,880,102,0,stairs;steps,1
55,0.0017,86,12,1,runway,1
56,0.0017,172,11,0,case;display;case;showcase;vitrine,1
57,0.0017,198,18,0,pool;table;billiard;table;snooker;table,1
58,0.0017,930,109,0,pillow,1
59,0.0015,139,18,0,screen;door;screen,1
60,0.0015,564,52,1,stairway;staircase,1
61,0.0015,320,26,1,river,0
